#Table1,,,,,,,,
class,z,zErr,modelMag_g,modelMagErr_g,extinction_g,modelMag_r,modelMagErr_r,extinction_r
GALAXY,0.4521531,0.000154216,20.98846,0.0875686,0.09539179,19.27521,0.02917347,0.0659916
GALAXY,0.1093374,6.51E-06,18.37011,0.008297077,0.3173219,17.79217,0.007311239,0.2195218
GALAXY,0.2721306,4.17E-05,19.09571,0.0170598,0.130655,17.55545,0.00746848,0.0903865
QSO,0.1888104,3.26E-05,18.56705,0.01441514,0.1225242,17.31268,0.007733429,0.08476169
GALAXY,0.1332235,2.55E-05,17.90764,0.008099734,0.1946429,16.75537,0.005147655,0.1346531
GALAXY,0.07502831,1.52E-05,21.21804,0.04340456,0.06002468,21.01399,0.05100609,0.04152479
QSO,0.7123983,0.000186243,20.73967,0.02890556,0.04616789,20.70019,0.03835836,0.03193873
GALAXY,0.3798174,9.44E-05,20.70613,0.06222281,0.2601736,18.92659,0.01954483,0.1799869
GALAXY,0.09534173,8.73E-06,17.21365,0.005768488,0.140947,16.47743,0.004816427,0.09750649
GALAXY,0.06034143,6.37E-06,17.32076,0.005766838,0.1758873,16.65477,0.004743497,0.121678
GALAXY,0.6052892,0.000198281,22.61559,0.3498896,0.1177616,20.24971,0.06952674,0.08146694
QSO,1.45201,0.00161203,20.85216,0.02916209,0.02898314,20.65914,0.03787388,0.0200504
QSO,3.010263,0.000560694,19.89997,0.01575279,0.03252567,19.58794,0.01547957,0.02250111
GALAXY,0.1284452,1.74E-05,18.34779,0.008364211,0.1043848,17.28764,0.005483956,0.07221288
GALAXY,0.07273286,2.77E-05,18.43713,0.008649101,0.1539966,17.54282,0.006234219,0.1065342
GALAXY,0.5282936,0.000107488,22.67775,0.1903764,0.02858286,20.56541,0.04650638,0.01977349
GALAXY,0.580054,0.000196964,21.89696,0.1655122,0.04596246,20.74518,0.09350154,0.03179662
GALAXY,0.4680418,0.000148504,21.50976,0.09892131,0.0902083,19.61365,0.0274791,0.06240568
GALAXY,0.5721449,0.000115221,21.75004,0.1299354,0.1441224,20.29881,0.05317474,0.09970321
GALAXY,0.4966,0.000159859,22.5626,0.2436638,0.0864561,20.58101,0.05395932,0.05980993
GALAXY,0.07110312,1.48E-05,16.8644,0.004384159,0.08770058,16.01203,0.0033434,0.06067086
GALAXY,0.5648074,0.000206024,22.32794,0.1463396,0.1760622,20.92664,0.05696739,0.121799
GALAXY,0.6936414,0.000124637,22.52452,0.1757769,0.08613053,20.88987,0.05783925,0.0595847
