#Table1,,,,,,,,
class,z,zErr,modelMag_g,modelMagErr_g,extinction_g,modelMag_r,modelMagErr_r,extinction_r
GALAXY,0.5434773,0.000169529,22.30827,0.2334115,0.02743415,20.11012,0.04862954,0.01897882
GALAXY,0.1374031,2.74E-05,18.57613,0.01101246,0.02992315,17.50962,0.007044498,0.02070069
GALAXY,0.5418285,0.000152832,22.57526,0.1704021,0.08175203,21.20343,0.0758831,0.05655568
QSO,1.851607,0.000977806,21.53104,0.05064113,0.02468826,21.25118,0.060212,0.01707922
QSO,2.659763,0.000690976,21.77752,0.0667497,0.131765,21.5915,0.0853128,0.09115441
GALAXY,0.4721615,0.000107386,21.72383,0.08270139,0.05646897,19.98669,0.02824946,0.03906497
QSO,2.824646,0.000500698,20.90253,0.02902275,0.07201801,20.67219,0.02974343,0.04982173
GALAXY,0.0307637,1.51E-05,15.39845,0.002594021,0.04574034,14.80733,0.002382734,0.03164295
GALAXY,0.5107992,0.000116767,21.45458,0.1206899,0.1163587,19.70061,0.04644695,0.08049641
GALAXY,0.5493047,0.000173072,22.65166,0.1366677,0.1847638,20.99178,0.04097347,0.1278187
GALAXY,0.6170226,0.000331519,23.35778,0.3243089,0.04487688,21.43554,0.08569375,0.03104562
QSO,2.580523,0.000412288,20.35933,0.02130531,0.09168669,20.32393,0.02811952,0.06342842
GALAXY,0.3302844,7.52E-05,20.24335,0.0507484,0.104759,18.63784,0.01887902,0.0724718
GALAXY,0.5689921,0.000118097,21.50764,0.09679759,0.0978167,20.35256,0.05279363,0.06766914
GALAXY,0.5080143,0.000129022,21.0948,0.08949336,0.05491038,19.55568,0.03755103,0.03798674
GALAXY,0.4158976,0.000137437,21.06471,0.1082923,0.06730838,19.17266,0.02922661,0.04656363
QSO,1.065335,0.000473288,21.2969,0.05043289,0.04634876,21.013,0.05469915,0.03206386
QSO,3.050118,0.000786678,21.53567,0.05988587,0.04018917,21.42064,0.0710354,0.02780268
GALAXY,0.269397,0.000158984,20.94019,0.07172058,0.04456742,19.4369,0.02993149,0.03083153
GALAXY,0.09630858,1.93E-05,17.59818,0.006268517,0.08395208,16.95053,0.005538975,0.05807766
GALAXY,0.535258,0.000154288,22.53131,0.1678484,0.04398981,20.87211,0.06349741,0.03043194
GALAXY,0.1874486,4.01E-05,20.60055,0.0335044,0.1836412,19.30572,0.01736424,0.1270422
GALAXY,0.05397726,2.98E-05,20.14685,0.05867266,0.2342715,19.40203,0.05278239,0.1620679
GALAXY,0.2785029,6.72E-05,20.16037,0.04205828,0.09962313,18.66634,0.02015068,0.06891882
GALAXY,0.2155667,3.01E-05,19.15697,0.01665353,0.1357186,17.7807,0.008668402,0.09388947
QSO,2.294348,0.00056523,22.24359,0.1076721,0.04554911,22.60544,0.2283145,0.03151066
GALAXY,0.2841917,4.16E-05,19.8772,0.02563674,0.1040067,18.28005,0.01174406,0.07195133
GALAXY,0.8995225,11.79722,19.66981,0.01389147,4.349546,18.09009,0.006835361,3.008996
